PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Activated,Played,Started,OffensiveSnapsPlayed,DefensiveSnapsPlayed,SpecialTeamsSnapsPlayed
16618,1,2020,LAR,99,A.Donald,DT,DEF,16,16,6,0,458,19
16620,1,2020,BUF,28,E.Gaines,CB,DEF,0,0,0,0,0,0
16621,1,2020,DAL,3,G.Gilbert,QB,OFF,9,1,1,38,0,0
16625,1,2020,LV,29,L.Joyner,FS,DEF,14,14,6,0,355,0
16640,1,2020,BUF,15,J.Brown,WR,OFF,9,9,7,240,0,0
16647,1,2020,DET,69,K.Martin,OLB,DEF,1,1,0,0,3,1
16656,1,2020,WAS,82,L.Thomas,TE,OFF,16,16,14,535,0,12
16668,1,2020,SEA,30,C.Hyde,RB,OFF,10,10,1,138,0,0
16669,1,2020,SF,27,D.Johnson,CB,DEF,14,14,3,0,145,134
16670,1,2020,JAX,59,A.Lynch,OLB,DEF,8,8,0,0,81,21
16671,1,2020,NE,0,M.Martin,G,OFF,3,3,0,2,0,0
16678,1,2020,SF,20,J.Ward,FS,DEF,14,14,13,0,450,72
16688,1,2020,PIT,49,C.Marsh,DE,DEF,8,8,1,0,80,68
16690,1,2020,WAS,54,K.Pierre-Louis,ILB,DEF,13,13,10,0,268,2
16724,1,2020,NE,21,A.Phillips,SS,DEF,16,16,16,0,396,78
16728,1,2020,WAS,80,D.Inman,WR,OFF,10,10,2,171,0,0
16760,1,2020,CLE,47,C.Hughlett,LS,ST,16,16,0,0,0,67
16762,1,2020,NO,2,J.Winston,QB,OFF,15,4,0,29,0,0
16763,1,2020,LV,8,M.Mariota,QB,OFF,5,1,0,34,0,0
16764,1,2020,ATL,56,D.Fowler Jr.,OLB,DEF,14,14,13,0,319,3
16765,1,2020,DAL,19,A.Cooper,WR,OFF,16,16,14,500,0,0
16766,1,2020,WAS,75,B.Scherff,G,OFF,13,13,13,454,0,30
16767,1,2020,NYG,99,L.Williams,DE,DEF,16,16,11,0,424,52
16768,1,2020,SF,14,K.White,WR,OFF,3,3,0,3,0,12
16769,1,2020,LV,51,V.Beasley Jr.,OLB,DEF,10,10,0,0,105,1
16770,1,2020,MIA,75,E.Flowers,G,OFF,14,14,13,454,0,28
16771,1,2020,ATL,21,T.Gurley II,RB,OFF,15,15,15,269,0,0
16772,1,2020,CIN,26,T.Waynes,CB,DEF,0,0,0,0,0,0
16773,1,2020,DET,71,D.Shelton,DT,DEF,12,12,12,0,264,28
16774,1,2020,NO,75,A.Peat,OL,OFF,13,13,13,406,0,33
16775,1,2020,MIA,11,D.Parker,WR,OFF,14,14,11,385,0,1
16776,1,2020,DEN,25,M.Gordon III,RB,OFF,15,15,10,332,0,0
16777,1,2020,CLE,28,K.Johnson,CB,DEF,13,13,6,1,305,14
16778,1,2020,SF,91,A.Armstead,DE,DEF,16,16,15,0,397,87
16779,1,2020,BAL,24,M.Peters,CB,DEF,14,14,14,0,483,0
16780,1,2020,DAL,75,C.Erving,OT,OFF,6,6,5,148,0,4
16781,1,2020,LV,15,N.Agholor,WR,OFF,16,16,13,387,0,0
16782,1,2020,SEA,74,C.Ogbuehi,OT,OFF,11,8,4,149,0,12
16783,1,2020,PIT,48,B.Dupree,OLB,DEF,11,11,11,0,323,17
16785,1,2020,ARI,74,D.Humphries,OT,OFF,16,16,16,599,0,41
16786,1,2020,CAR,54,S.Thompson,ILB,DEF,16,16,15,0,546,48
16787,1,2020,NYJ,19,B.Perriman,WR,OFF,12,12,12,345,0,0
16788,1,2020,MIA,24,B.Jones,CB,DEF,14,14,13,0,431,29
16789,1,2020,SF,75,L.Tomlinson,G,OFF,16,16,15,579,0,37
16790,1,2020,SEA,11,P.Dorsett II,WR,OFF,0,0,0,0,0,0
16791,1,2020,SEA,36,D.Randall,FS,DEF,10,10,0,2,19,32
16793,1,2020,NO,90,M.Brown,DT,DEF,13,13,13,0,183,24
16794,1,2020,WAS,26,L.Collins,SS,DEF,7,7,6,0,210,36
16795,1,2020,TB,76,D.Smith,OT,OFF,15,15,14,510,0,29
16796,1,2020,CHI,97,M.Edwards Jr.,DE,DEF,15,15,0,0,135,41
16797,1,2020,BUF,22,T.Yeldon,RB,OFF,3,3,0,22,0,0
